SOC_Standard,O*NET-SOC Code,Title,Description,Annual_Mean_Wage,Annual_Median_Wage,Annual_10th_Percentile,Annual_25th_Percentile,Annual_75th_Percentile,Annual_90th_Percentile,Total_Employment,Task_Count,Skills_Mean_Level,Skills_Std,Skills_Count,Abilities_Mean_Level,Abilities_Std,Abilities_Count,WorkAct_Mean_Level,WorkAct_Std,WorkAct_Count
11-1011,11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",262930,206420,73710,126080,#,#,211850.0,49.0,3.0931428571428574,1.7373389136939275,70.0,1.9952884615384614,1.829573644816551,104.0,4.186463414634146,1.5768552639149682,82.0
11-1011,11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",262930,206420,73710,126080,#,#,211850.0,49.0,3.0931428571428574,1.7373389136939275,70.0,1.9952884615384614,1.829573644816551,104.0,4.186463414634146,1.5768552639149682,82.0
11-1021,11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",133120,102950,47420,67160,164130,#,3584420.0,17.0,2.724285714285714,1.449243790059219,35.0,1.853076923076923,1.4725095804629091,52.0,3.6302439024390245,1.0083265537634074,41.0
11-1031,11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",67390,44810,20380,29120,80350,137820,26510.0,30.0,,,,,,,,,
11-2011,11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",149270,126960,63000,85990,178570,#,21100.0,30.0,2.6525714285714286,1.6368914996152328,35.0,1.8363461538461539,1.743778890514656,52.0,3.2168292682926825,1.3685346890458976,41.0
11-2021,11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",171520,161030,81900,111210,211080,#,384980.0,20.0,2.793142857142857,1.6022516719192612,35.0,1.8559615384615387,1.7486569183517804,52.0,3.3665853658536586,1.6460492242884137,41.0
11-2022,11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",160930,138060,66910,95910,201490,#,603710.0,17.0,2.774857142857143,1.6425238317342998,35.0,1.761923076923077,1.67602709330614,52.0,3.933658536585366,1.796792637030719,41.0
11-2032,11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",163520,138520,78880,102300,198000,#,76060.0,20.0,,,,,,,,,
11-2033,11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",137290,123480,73700,92880,166420,216660,36920.0,16.0,2.433142857142857,1.5392851118172306,35.0,1.7111538461538462,1.6336806199573195,52.0,3.158536585365854,1.425546493411579,41.0
11-3012,11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",126030,108390,64740,83660,147150,200010,254140.0,18.0,2.5385714285714283,1.3694291272109635,35.0,2.0278846153846155,1.2529296437979633,52.0,3.863414634146342,0.9161102819969263,41.0
11-3013,11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",114520,104690,62550,80150,135650,173080,141090.0,39.0,2.8232857142857144,1.1366537736893483,70.0,2.5635576923076924,0.99368385731568,104.0,4.3669512195121944,0.805226276034121,82.0
11-3013,11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",114520,104690,62550,80150,135650,173080,141090.0,39.0,2.8232857142857144,1.1366537736893483,70.0,2.5635576923076924,0.99368385731568,104.0,4.3669512195121944,0.805226276034121,82.0
11-3021,11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",187990,171200,104450,134350,216220,#,645970.0,17.0,3.082857142857143,1.0896507034193041,35.0,1.9542307692307692,1.5704505986997046,52.0,4.078536585365853,1.419814355779673,41.0
11-3031,11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",180470,161700,86490,118360,214210,#,818620.0,59.0,2.6746666666666665,1.6270762278645863,105.0,1.8481410256410256,1.7804917060933843,156.0,3.5308943089430893,1.7193889536645683,123.0
11-3031,11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",180470,161700,86490,118360,214210,#,818620.0,59.0,2.6746666666666665,1.6270762278645863,105.0,1.8481410256410256,1.7804917060933843,156.0,3.5308943089430893,1.7193889536645683,123.0
11-3031,11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",180470,161700,86490,118360,214210,#,818620.0,59.0,2.6746666666666665,1.6270762278645863,105.0,1.8481410256410256,1.7804917060933843,156.0,3.5308943089430893,1.7193889536645683,123.0
11-3051,11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",129180,121440,74900,94620,156330,197310,234380.0,116.0,3.1857142857142855,1.0314859974584418,210.0,2.4278525641025643,1.3069668146973326,312.0,4.066178861788618,0.8921311519993448,246.0
11-3051,11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",129180,121440,74900,94620,156330,197310,234380.0,116.0,3.1857142857142855,1.0314859974584418,210.0,2.4278525641025643,1.3069668146973326,312.0,4.066178861788618,0.8921311519993448,246.0
11-3051,11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,129180,121440,74900,94620,156330,197310,234380.0,116.0,3.1857142857142855,1.0314859974584418,210.0,2.4278525641025643,1.3069668146973326,312.0,4.066178861788618,0.8921311519993448,246.0
11-3051,11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",129180,121440,74900,94620,156330,197310,234380.0,116.0,3.1857142857142855,1.0314859974584418,210.0,2.4278525641025643,1.3069668146973326,312.0,4.066178861788618,0.8921311519993448,246.0
11-3051,11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",129180,121440,74900,94620,156330,197310,234380.0,116.0,3.1857142857142855,1.0314859974584418,210.0,2.4278525641025643,1.3069668146973326,312.0,4.066178861788618,0.8921311519993448,246.0
11-3051,11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,129180,121440,74900,94620,156330,197310,234380.0,116.0,3.1857142857142855,1.0314859974584418,210.0,2.4278525641025643,1.3069668146973326,312.0,4.066178861788618,0.8921311519993448,246.0
